Month,Number
May-2018,"1,338"
Jun-2018,"1,345"
Jul-2018,"1,334"
Aug-2018,"1,273"
Sep-2018,"1,314"
Oct-2018,"1,272"
Nov-2018,"1,340"
Dec-2018,"1,317"
Jan-2019,"1,254"
Feb-2019,"1,286"
Mar-2019,"1,295"
Apr-2019,"1,322"
May-2019,"1,347"
Jun-2019,"1,299"
Jul-2019,"1,379"
Aug-2019,"1,482"
Sep-2019,"1,469"
Oct-2019,"1,523"
Nov-2019,"1,535"
Dec-2019,"1,443"
Jan-2020,"1,495"
Feb-2020,"1,455"
Mar-2020,"1,346"
Apr-2020,"1,076"
May-2020,"1,250"
Jun-2020,"1,334"
Jul-2020,"1,546"
Aug-2020,"1,533"
Sep-2020,"1,636"
Oct-2020,"1,613"
Nov-2020,"1,703"
Dec-2020,"1,752"
Jan-2021,"1,855"
Feb-2021,"1,711"
Mar-2021,"1,756"
Apr-2021,"1,721"
May-2021,"1,703"
Jun-2021,"1,654"
Jul-2021,"1,658"
Aug-2021,"1,736"
Sep-2021,"1,640"
Oct-2021,"1,707"
Nov-2021,"1,765"
Dec-2021,"1,919"
Jan-2022,"1,920"
Feb-2022,"1,857"
Mar-2022,"1,868"
Apr-2022,"1,859"
May-2022,"1,704"
Jun-2022,"1,737"
Jul-2022,"1,703"
Aug-2022,"1,557"
Sep-2022,"1,600"
Oct-2022,"1,594"
Nov-2022,"1,401"
Dec-2022,"1,410"
Jan-2023,"1,410"
Feb-2023,"1,618"
Mar-2023,"1,480"
Apr-2023,"1,474"
May-2023,"1,575"
Jun-2023,"1,464"
Jul-2023,"1,522"
Aug-2023,"1,561"
Sep-2023,"1,537"
Oct-2023,"1,528"
Nov-2023,"1,503"
Dec-2023,"1,519"
Jan-2024,"1,545"
Feb-2024,"1,577"
Mar-2024,"1,476"
Apr-2024,"1,459"
May-2024,"1,407"
Jun-2024,"1,461"
Jul-2024,"1,436"
Aug-2024,"1,476"
Sep-2024,"1,434"
Oct-2024,"1,428"
Nov-2024,"1,508"
Dec-2024,"1,480"
Jan-2025,"1,460"
Feb-2025,"1,454"
Mar-2025,"1,481"
Apr-2025,"1,422"
May-2025,"1,394"
Jun-2025,"1,393"
Jul-2025,"1,362"
Aug-2025,"1,330"
