Periodicity,Year,Period,Estimate
Current dollar index number,2021,March,141.5
"3-month percent change, current dollars",2021,March,0.8
Current dollar index number,2021,December,146.7
"3-month percent change, current dollars",2021,December,1.1
Current dollar index number,2021,September,145.1
"3-month percent change, current dollars",2021,September,0.8
Current dollar index number,2021,June,144.0
"3-month percent change, current dollars",2021,June,1.1
Current dollar index number,2021,March,142.4
"3-month percent change, current dollars",2021,March,0.8
Current dollar index number,2022,December,151.6
"3-month percent change, current dollars",2022,December,1.0
Current dollar index number,2022,September,150.1
"3-month percent change, current dollars",2022,September,1.0
Current dollar index number,2022,June,148.6
"3-month percent change, current dollars",2022,June,1.6
Current dollar index number,2022,March,146.2
"3-month percent change, current dollars",2022,March,0.6
Current dollar index number,2022,December,153.8
"3-month percent change, current dollars",2022,December,1.2
Current dollar index number,2022,September,152.0
"3-month percent change, current dollars",2022,September,1.1
Current dollar index number,2022,June,150.3
"3-month percent change, current dollars",2022,June,1.9
Current dollar index number,2022,March,147.5
"3-month percent change, current dollars",2022,March,0.5
Current dollar index number,2023,December,157.9
"3-month percent change, current dollars",2023,December,1.0
Current dollar index number,2023,September,156.3
"3-month percent change, current dollars",2023,September,1.0
Current dollar index number,2023,June,154.7
"3-month percent change, current dollars",2023,June,0.9
Current dollar index number,2023,March,153.3
"3-month percent change, current dollars",2023,March,1.1
Current dollar index number,2023,December,160.7
"3-month percent change, current dollars",2023,December,1.2
Current dollar index number,2023,September,158.8
"3-month percent change, current dollars",2023,September,1.0
Current dollar index number,2023,June,157.2
"3-month percent change, current dollars",2023,June,0.9
Current dollar index number,2023,March,155.8
"3-month percent change, current dollars",2023,March,1.3
Current dollar index number,2024,December,161.7
"3-month percent change, current dollars",2024,December,0.6
Current dollar index number,2024,September,160.8
"3-month percent change, current dollars",2024,September,1.1
Current dollar index number,2024,June,159.0
"3-month percent change, current dollars",2024,June,-0.1
Current dollar index number,2024,March,159.2
"3-month percent change, current dollars",2024,March,0.8
Current dollar index number,2024,December,164.6
"3-month percent change, current dollars",2024,December,0.5
Current dollar index number,2024,September,163.7
"3-month percent change, current dollars",2024,September,1.4
Current dollar index number,2024,June,161.4
"3-month percent change, current dollars",2024,June,-0.5
Current dollar index number,2024,March,162.2
"3-month percent change, current dollars",2024,March,0.9
Current dollar index number,2025,June,165.029
"3-month percent change, current dollars",2025,June,0.8
Current dollar index number,2025,March,163.8
"3-month percent change, current dollars",2025,March,1.3
Current dollar index number,2025,June,168.243
"3-month percent change, current dollars",2025,June,0.8
Current dollar index number,2025,March,166.9
"3-month percent change, current dollars",2025,March,1.4
